site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
The Green Glen,GREE,48.1,-55.265999999999984,-61.270999999999034,gentoo penguin,19,12,1970,1970,60,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Georges Rib,GRIB,48.1,-54.972999999999985,-61.156999999999,gentoo penguin,16,2,1971,1970,500,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Hannah Point,HANN,48.1,-60.61339999999999,-62.65449999999935,gentoo penguin,28,1,2016,2015,2820,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Harmony Point,HARM,48.1,-59.24249999999999,-62.30639999999928,gentoo penguin,,,1995,1995,3347,1,nests,ground,<strong>Silva  M. P.  M. Favero  R. J. Casaux  and A. Baroni  </strong><i> 1998</i>. The status of breeding birds at Harmony Point  Nelson Island  Antarctica in summer 1995/96. Marine Ornithology 26:75-78.
Heroina Island,HERO,48.1,-54.608299999999986,-63.39439999999947,gentoo penguin,9,12,2015,2015,999,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Hope Bay,HOPE,48.1,-56.99779999999999,-63.39719999999947,gentoo penguin,23,12,2017,2017,467,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Hovgaard Island,HOVG,48.1,-64.09389999999999,-65.1295999999997,gentoo penguin,17,2,2018,2017,2301,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Humphries Heights,HUMP,48.1,-63.86369999999998,-65.0556999999997,gentoo penguin,4,1,2015,2014,58,3,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Hurd Peninsula (east),HURE,48.1,-60.37899999999997,-62.69499999999937,gentoo penguin,,,1987,1987,100,3,nests,ground,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Hurd Peninsula (west),HURW,48.1,-60.40599999999999,-62.673999999999346,gentoo penguin,8,12,2010,2010,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Hut Bluff,HUTB,48.1,-55.13999999999998,-61.21899999999901,gentoo penguin,19,12,1970,1970,120,1,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Jade Point,JADE,48.1,-57.59349999999999,-63.60279999999952,gentoo penguin,22,12,2001,2001,1,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Johnson's Dock,JOHN,48.1,-60.367499999999986,-62.66039999999935,gentoo penguin,,,1987,1987,66,1,nests,ground,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Jonassen Island,JONA,48.1,-56.683399999999985,-63.54249999999951,gentoo penguin,11,12,2016,2016,45,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Joubin Islands,JOUB,48.1,-64.39919999999998,-64.77439999999964,gentoo penguin,,,1990,1990,104,1,nests,ground,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
