site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Lazarev,LAZA,48.6,15.549999999999999,-69.74999999999994,emperor penguin,11,10,2009,2009,821,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Ledda Bay,LEDD,88.2,-130.78399999999996,-74.22799999999998,emperor penguin,27,10,2009,2009,0,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Luitpold,LUIT,48.5,-33.59999999999999,-77.76999999999998,emperor penguin,12,11,2009,2009,6498,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Mertz Glacier,MERT,58.4.1,146.61999999999998,-66.89199999999981,emperor penguin,17,11,2009,2009,4781,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Noville Peninsula,NOVI,88.3,-98.44999999999999,-71.76999999999997,emperor penguin,17,11,2009,2009,3568,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Point Geologie,PGEO,58.4.1,140.00999999999996,-66.6699999999998,emperor penguin,1,10,2009,2009,2456,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Peterson Bank,PSON,58.4.1,110.22999999999998,-65.91999999999976,emperor penguin,24,10,2009,2009,0,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Ragnhild,RAGN,48.6,27.14999999999999,-69.89999999999993,emperor penguin,10,10,2009,2009,6870,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Riiser,RIIS,48.6,-15.109999999999998,-72.11999999999998,emperor penguin,27,10,2009,2009,4013,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Cape Roget,ROGE,88.1,170.58999999999995,-71.98999999999995,emperor penguin,,,2012,2012,6270,1,adults,ground,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
