site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Byewater Point,BYEW,48.1,-61.502099999999984,-62.75279999999937,chinstrap penguin,4,2,1987,1986,700,3,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Carlota Cove,CARL,48.1,-59.70905899999998,-62.373442999999284,chinstrap penguin,,,1975,1975,1,1,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Caroline Bluff,CARO,48.1,-57.65899999999998,-61.910999999999184,chinstrap penguin,31,1,1987,1986,5500,4,nests,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Castle Rock,CAST,48.1,-61.58139999999999,-62.78859999999937,chinstrap penguin,4,2,1987,1986,5000,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Casy Island,CASY,48.1,-57.50519999999999,-63.23649999999945,chinstrap penguin,6,1,1970,1969,30,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Chinstrap Camp,CCMP,48.1,-54.75599999999999,-61.155999999999004,chinstrap penguin,18,1,1971,1970,24480,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cape Conway (east),CCOE,48.1,-61.423999999999985,-62.837999999999376,chinstrap penguin,8,2,1987,1986,2500,3,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Cecilia Island,CECI,48.1,-59.72849999999998,-62.4127999999993,chinstrap penguin,7,12,2010,2010,0,1,nests,offshore vessel,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
"Chabrier Rock, Vaureal Peak",CHAB,48.1,-58.29609999999998,-62.18739999999924,chinstrap penguin,12,2,1987,1986,2500,3,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Cheal Point,CHEA,48.2,-45.993999999999986,-60.63299999999885,chinstrap penguin,4,1,1984,1983,22500,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
