site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Child Rocks Islands 1,CHI1,58.4.2,63.27489999999999,-67.43769999999986,ad{\'e}lie penguin,23,11,2005,2005,500,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Child Rocks Islands 2,CHI2,58.4.2,63.28239999999999,-67.43799999999986,ad{\'e}lie penguin,23,11,2005,2005,5000,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Child Rocks Islands 3,CHI3,58.4.2,63.27149999999998,-67.43869999999986,ad{\'e}lie penguin,23,11,2005,2005,500,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Chick Islands,CHIC,58.4.1,120.99339999999997,-66.79179999999981,ad{\'e}lie penguin,3,2,2011,2010,475,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Chinstrap Islet,CHII,88.1,163.31099999999995,-66.92499999999981,ad{\'e}lie penguin,,12,2005,2005,3092,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Christine Island,CHIS,48.1,-64.02359999999999,-64.79459999999965,ad{\'e}lie penguin,23,1,2004,2003,851,1,chicks,ground,<strong>Fraser  W. R.  </strong><i> ????b</i>. Ad&#233;lie penguin breeding success and chronology studies - relative abundance of one and two chick broods  collected at Palmer Station Antarctica research area  1991 - present. dataset.
Christoffersen Island,CHRI,48.2,-45.03499999999999,-60.727999999998886,ad{\'e}lie penguin,27,12,1983,1983,378,3,chicks,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Cape Hunter,CHUN,58.4.1,142.34899999999996,-66.96299999999982,ad{\'e}lie penguin,14,3,2010,2009,7709,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Clark Island,CLAR,88.2,-105.19299999999997,-74.05599999999997,ad{\'e}lie penguin,11,1,2012,2011,322,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Coulman Middle,CMID,88.1,169.88539999999995,-73.43719999999998,ad{\'e}lie penguin,,12,2013,2013,9278,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Coulman North,CNOR,88.1,169.84009999999998,-73.38219999999997,ad{\'e}lie penguin,,12,2013,2013,2751,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cockburn Island,COCK,48.1,-56.841199999999986,-64.2004999999996,ad{\'e}lie penguin,5,2,2011,2010,15721,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Colbeck Archipelago Unnamed 1,COLB,58.4.2,61.06469999999999,-67.34359999999984,ad{\'e}lie penguin,2,2,2011,2010,958,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cone Island,CONE,48.1,-69.15309999999998,-67.67489999999985,ad{\'e}lie penguin,11,1,2013,2012,3051,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Conical Island (Aviation Islands),CONI,88.1,158.78329999999994,-69.26669999999991,ad{\'e}lie penguin,,12,1985,1985,128,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cormorant Island,CORM,48.1,-63.96669999999999,-64.79389999999964,ad{\'e}lie penguin,27,1,2005,2004,227,1,chicks,ground,<strong>Fraser  W. R.  </strong><i> ????b</i>. Ad&#233;lie penguin breeding success and chronology studies - relative abundance of one and two chick broods  collected at Palmer Station Antarctica research area  1991 - present. dataset.
Cape Cornish (NE Buckle),CORN,88.1,163.21389999999997,-66.70309999999982,ad{\'e}lie penguin,,12,2005,2005,401,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cormorant Point,CORP,48.2,-44.73199999999999,-60.755999999998885,ad{\'e}lie penguin,,,2004,2004,96,1,nests,ground,<strong>Coria  N. R.  D. Montalti  E. F. Rombol&#225;  M. M. Santos  M. I. Garcia Beto&#241;o  and M. A. Ju&#225;res </strong><i> 2011</i>. Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.
Cape Cotter,COTT,88.1,170.31219999999993,-72.40449999999997,ad{\'e}lie penguin,,12,2013,2013,49198,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Crozier,CROZ,88.1,169.31999999999996,-77.45999999999997,ad{\'e}lie penguin,,12,2013,2013,280787,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cruzen Island,CRUZ,88.2,-140.32659999999998,-74.73409999999998,ad{\'e}lie penguin,30,1,2011,2010,226,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Coulman South,CSOU,88.1,169.87789999999995,-73.51369999999999,ad{\'e}lie penguin,,12,2013,2013,24947,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Curzon Islands,CURZ,58.4.1,141.56689999999998,-66.76699999999983,ad{\'e}lie penguin,5,2,2011,2010,14694,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Darbel Island,DARB,48.1,-65.90029999999999,-66.38079999999978,ad{\'e}lie penguin,17,1,2013,2012,522,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Darwin Island,DARW,48.1,-54.72599999999999,-63.43699999999947,ad{\'e}lie penguin,14,12,2015,2015,5804,1,nests,ground photo,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
